latitude longitude
18.15 -65.5585
18.188 -65.609
18.1796666666667 -65.602
18.1395 -65.618
18.1094 -65.5956
18.115 -65.584
18.085 -65.613
18.115 -65.584
18.085 -65.6446666666667
18.054 -65.559
18.1043333333333 -65.541
18.141 -65.629
18.0995 -65.606
18.11575 -65.61325
17.0246666666667 -70.8046666666667
18.126 -65.569
18.111 -65.6086666666667
18.074 -65.644
18.062 -65.521
18.1195 -65.6265
18.101 -65.659
18.201 -65.604
18.181 -65.5765
18.1836666666667 -65.6153333333333
18.1876666666667 -65.612
18.208 -65.608
17.89025 -67.10425
18.173 -65.6075
18.1744 -65.6206
18.174 -65.59025
18.1735 -65.6065
18.12 -65.602
18.1066666666667 -65.6113333333333
18.112 -65.581
18.122 -65.577
18.095 -65.67
18.105 -65.634
18.0795 -65.479
12.155 -68.279
12.1665 -68.33925
12.167 -68.319
12.167 -68.314
12.157 -68.299
12.12 -68.236
12.1615 -68.3245
12.147 -68.417
12.1534 -68.2844
12.1685 -68.318
12.234 -68.234
12.1666666666667 -68.3193333333333
12.168 -68.32
12.142 -68.2553333333333
12.16 -68.325
12.1685 -68.323
12.174 -68.3523333333333
12.349 -68.2165
12.172 -68.312
12.177 -68.31
12.167 -68.324
12.1506666666667 -68.3883333333333
12.3155 -68.7191666666667
12.6041818181818 -69.4207272727273
12.9756666666667 -70.1396666666667
13.615 -71.177
13.391 -75.396
13.07 -76.839
12.9765 -77.445
12.926 -78.819
13.071 -79.373
12.846 -80.338
12.8425 -80.8475
12.8165 -82.387
12.167 -68.305
12.1695 -68.295
12.151 -68.295
12.216 -68.367
12.205 -68.4155
12.2796 -68.3806
12.253 -68.38375
12.152 -68.302
12.167 -68.299
12.1714 -68.3054
12.216 -68.356
12.1335 -68.445
12.17 -68.402
12.1875 -68.2925
12.161 -68.302
12.116 -68.41
12.16775 -68.3025
12.173 -68.338
12.1725 -68.3115
12.0826666666667 -68.465
12.1925 -68.32
12.151 -68.323
12.16 -68.2535
12.3813333333333 -68.2943333333333
12.58 -67.777
12.4943333333333 -67.0803333333333
12.1525 -66.57025
12.0794 -65.7396
11.882 -64.995
11.759 -64.727
11.79 -64.306
11.6385 -64.0645
11.228 -63.7456666666667
10.901 -63.828
10.874 -63.8903333333333
11.021 -63.768
10.973 -63.757
10.8445 -63.6045
10.8905 -63.7665
10.992 -63.749
10.8874 -63.5224
10.741 -63.853
11.017 -63.6105
11.029 -63.7315
11.0153333333333 -63.7543333333333
11.036 -63.7455
11.03 -63.767
11.014 -63.745
11.026 -63.751
11.0355 -63.7265
11.084 -63.683
11.022 -63.779
11.039 -63.795
11.001 -63.754
11.0123333333333 -63.6696666666667
11.006 -63.7234
11.164 -63.904
11.022 -63.762
11.034 -63.721
11.0406666666667 -63.764
11.104 -63.757
11.0575 -63.715
10.9745 -63.6665
11.0396666666667 -63.7686666666667
11.043 -63.775
11.233 -63.928
11.3373333333333 -63.8676666666667
11.041 -63.84475
10.8595 -63.7115
10.8705 -63.726
10.9065 -63.9195
11.0235 -63.774
11.017 -63.696
10.815 -63.606
11.032 -63.767
11.043 -63.766
11.015 -63.725
11.019 -63.762
11.039 -63.728
12.168 -68.3035
12.225 -68.402
12.671 -68.467625
13.5572222222222 -68.7396666666667
14.5335555555556 -69.0443333333333
14.4928 -68.798
14.037 -68.7325
14.2157142857143 -68.7952857142857
15.68825 -69.287375
16.5703333333333 -69.624
17.0357142857143 -69.9515714285714
16.6498571428571 -70.12
16.9175 -70.269
16.1733333333333 -70.1603333333333
17.97975 -71.1075
17.3138181818182 -70.6771818181818
17.633 -71.04225
17.45925 -70.902
15.2138 -69.7898
16.0096 -70.2782
16.5078571428571 -70.7837142857143
16.414 -70.634
16.695 -70.422
15.3655 -69.6584
17.0005 -70.2245
17.3925 -70.1555
17.7145 -70.053
18.335 -69.734
18.407 -69.752
12.068 -68.357
18.3976666666667 -69.437
18.39 -69.171
12.159 -68.296
18.076 -68.761
12.158 -68.249
18.885 -68.642
18.2018571428571 -68.7538571428571
19.7224285714286 -68.8478571428572
12.1585 -68.2985
20.113 -68.816
20.153 -69.054
15.3452 -68.5234
20.1616666666667 -68.9983333333333
16.1225 -68.6225
13.74 -68.538
13.2122857142857 -68.77
14.422 -68.921625
16.5224 -68.9508
15.488375 -69.449125
