latitude longitude
17.702 -75.64
17.727 -75.67
15.606 -83.849
16.301 -74.196
17.719 -75.622
18.568 -64.143
18.606 -64.094
11.668 -73.182
18.335 -69.734
12.129 -68.536
18.288 -64.635
17.713 -75.65
17.714 -75.688
14.966 -75.294
14.99 -78.477
14.715 -77.145
17.693 -75.637
17.705 -75.631
17.741 -75.591
17.731 -75.453
11.06 -74.486
11.043 -74.385
13.097 -69.068
11.627 -73.152
13.684 -73.037
13.497 -72.501
14.621 -72.476
15.827 -70.126
14.897 -69.586
12.125 -68.309
12.158 -68.306
12.17 -68.297
15.491 -67.45
11.83 -66.714
14.875 -73.853
12.838 -69.612
15.224 -79.033
12.168 -68.301
15.433 -81.005
17.71 -75.641
15.704 -79.207
11.949 -70.291
17.701 -75.63
17.707 -75.587
12.9 -71.105
13.694 -70.874
13.963 -70.537
11.062 -74.455
11.086 -74.435
15.822 -69.935
15.822 -69.935
12.995 -69.564
15.447 -68.958
12.17 -68.34
12.169 -68.307
13.545 -65.839
11.829 -66.703
18.634 -64.245
15.462 -81.126
17.665 -75.773
17.631 -75.75
14.816 -77.945
17.723 -75.61
17.701 -75.609
11.294 -74.301
13.234 -69.562
12.565 -69.478
14.979 -68.866
12.011 -68.384
12.245 -68.307
12.098 -68.303
12.168 -68.272
13.434 -67.464
11.218 -65.725
18.605 -64.143
13.949 -64.974
16.101 -80.663
17.71 -75.662
14.835 -73.754
14.233 -73.51
16.061 -80.444
15.448 -81.264
17.492 -76.404
17.69 -75.684
17.681 -75.675
17.669 -75.62
11.948 -70.36
11.141 -74.422
11.076 -74.385
17.929 -73.891
13.736 -73.471
14.716 -72.661
15.597 -70.002
13.074 -68.814
12.081 -68.449
12.156 -68.296
12.168 -68.295
13.551 -68.199
18.634 -64.098
12.19 -68.307
17.655 -75.7
15.044 -78.602
14.532 -70.752
11.064 -74.385
14.306 -69.045
14.493 -69.039
15.86 -70.133
15.86 -70.133
13.224 -70.261
17.314 -70.074
13.006 -69.98
19.803 -68.766
12.55 -68.404
12.628 -68.234
11.814 -66.713
11.815 -66.698
16.075 -80.451
17.738 -75.621
17.341 -70.663
11.129 -74.477
12.492 -69.759
12.04 -68.87
13.294 -68.801
12.164 -68.285
17.729 -66.954
14.365 -65.903
18.725 -64.128
11.813 -66.649
18.596 -64.232
18.593 -64.156
15.992 -79.98
15.445 -76.058
14.851 -73.958
16.064 -80.485
12.167 -68.299
18.588 -64.166
18.99 -81.462
17.732 -75.659
17.666 -75.954
17.717 -75.775
17.878 -75.296
14.973 -75.286
17.884 -74.98
14.804 -77.738
17.739 -75.621
17.751 -75.599
14.799 -71.146
17.824 -70.933
11.062 -74.466
14.102 -74.428
11.074 -74.42
13.799 -73.856
13.799 -73.856
13.476 -73.268
13.362 -69.853
13.078 -69.245
12.168 -68.291
12.117 -68.28
14.035 -67.994
11.199 -67.584
14.072 -65.745
11.812 -66.706
11.846 -66.7
14.287 -65.228
18.628 -64.057
16.115 -80.495
12.172 -68.289
17.707 -75.701
14.921 -78.343
14.899 -78.196
11.95 -70.28
17.701 -75.628
17.747 -75.598
12.623 -70.566
11.972 -70.554
11.087 -74.469
11.102 -74.454
15.598 -72.209
17.385 -70.145
16.44 -69.505
19.771 -68.821
12.161 -68.442
12.216 -68.411
12.161 -68.319
12.126 -68.314
12.108 -68.263
17.506 -68.067
17.506 -68.067
16.415 -67.506
13.851 -65.95
11.818 -66.681
11.953 -65.187
17.712 -75.653
17.731 -75.649
14.586 -79.712
15.194 -79.055
16.473 -70.223
16.473 -70.223
17.705 -75.608
17.691 -75.521
17.713 -75.496
17.873 -75.349
11.931 -70.405
15.413 -69.036
15.708 -73.66
15.708 -73.66
12.839 -69.177
19.674 -68.903
12.136 -68.314
12.188 -68.28
12.186 -68.272
16.902 -67.541
18.672 -64.148
10.911 -66.332
10.932 -66.174
18.564 -64.463
18.435 -64.405
16.017 -80.566
12.527 -68.916
14.935 -78.192
15.221 -79.022
17.71 -75.639
12.179 -68.304
15.34 -75.608
16.08 -81.001
15.448 -80.88
17.695 -75.653
14.27 -75.889
17.77 -75.735
15.904 -79.838
11.148 -74.259
18.344 -74.688
14.227 -71.438
11.142 -74.451
11.108 -74.441
15.699 -73.695
15.699 -73.695
15.589 -72.632
13.103 -72.555
11.953 -72.437
13.201 -71.601
19.998 -69.298
12.038 -68.281
13.385 -68.118
11.926 -68.105
13.702 -65.924
18.596 -64.081
11.741 -66.77
18.679 -64.225
15.994 -79.94
14.602 -72.45
13.818 -72.833
15.42 -81.038
14.317 -76.454
17.76 -75.775
17.711 -75.699
14.879 -78.026
13.563 -65.85
12.289 -72.196
12.332 -71.994
12.354 -69.841
13.655 -67.823
15.221 -67.545
11.175 -65.701
18.525 -64.094
16.721 -70.341
14.114 -65.122
12.155 -68.236
15.254 -77.461
12.163 -68.297
17.716 -75.658
17.71 -75.669
11.938 -70.279
17.779 -75.444
17.779 -75.444
17.256 -70.877
16.828 -70.77
16.828 -70.77
14.396 -71.725
20.048 -68.942
13.01 -68.685
12.186 -68.372
12.138 -68.23
12.194 -68.3
12.103 -68.298
11.946 -68.274
11.799 -66.79
13.996 -66.163
16.088 -80.452
12.498 -67.871
16.06 -81.01
17.529 -76.377
15.101 -78.82
11.36 -74.038
16.22 -70.303
11.959 -70.297
16.819 -70.272
17.687 -75.625
17.742 -75.617
17.74 -75.575
17.781 -75.437
17.947 -71.096
16.536 -69.603
12.364 -68.485
12.163 -68.32
12.135 -68.314
11.343 -74.127
16.777 -70.279
17.697 -75.501
17.811 -70.927
13.938 -70.507
11.066 -74.498
11.063 -74.482
11.092 -74.452
11.012 -74.318
12.176 -68.339
12.161 -68.235
18.57 -64.14
13.97 -64.986
16.107 -80.581
18.359 -75.95
15.972 -80.309
17.69 -75.659
17.665 -75.646
17.694 -75.687
13.132 -70.278
17.731 -75.617
11.851 -70.406
13.793 -73.128
12.328 -69.956
12.253 -69.64
12.043 -68.831
12.707 -68.71
12.173 -68.291
11.83 -66.708
18.599 -64.172
15.147 -78.839
16.082 -80.494
16.019 -80.848
17.708 -75.656
17.683 -75.781
17.737 -75.708
17.709 -75.69
14.528 -74.917
18.531 -76.695
12.747 -70.795
11.115 -74.462
11.072 -74.456
12.264 -72.15
14.766 -69.507
20.096 -68.804
12.114 -68.316
12.144 -68.297
12.11 -68.254
11.839 -66.738
17.864 -66.646
18.596 -64.16
16.114 -80.548
16.078 -80.475
16.096 -80.474
15.424 -80.96
17.706 -75.64
14.349 -76.037
17.662 -75.908
17.703 -75.822
16.978 -70.267
17.708 -75.619
17.84 -75.426
13.843 -71.095
11.086 -74.509
15.519 -69.093
14.575 -69.09
12.199 -72.269
12.4 -69.563
13.213 -69.521
12.246 -68.582
12.162 -68.314
12.168 -68.308
12.177 -68.304
10.91 -67.162
11.8 -66.725
14.256 -73.549
15.445 -80.89
15.605 -81.02
16.585 -81.58
17.684 -75.669
18.069 -75.29
11.207 -74.291
16.811 -74.213
17.795 -70.935
17.742 -70.621
10.933 -74.353
12.278 -72.265
17.013 -69.59
20.207 -69.153
12.166 -68.384
12.172 -68.307
12.109 -68.298
12.188 -68.291
10.88 -66.582
18.762 -63.382
14.759 -74.049
12.077 -68.584
15.993 -79.926
17.752 -75.722
12.72 -70.549
18.309 -74.534
18.309 -74.534
11.111 -74.452
13.781 -73.557
12.64 -71.065
11.043 -74.445
13.761 -73.404
17.416 -69.795
12.154 -68.317
12.156 -68.281
14.234 -66.968
11.886 -66.753
11.823 -66.651
10.878 -66.59
12.636 -69.124
12.139 -68.365
16.056 -81.006
11.811 -66.723
15.871 -80.855
12.921 -69.713
15.394 -80.902
17.707 -75.837
14.558 -76.524
11.251 -74.219
17.738 -75.616
17.673 -75.522
17.712 -75.512
14.406 -74.781
17.452 -70.894
13.468 -72.863
15.589 -72.764
15.589 -72.764
13.466 -72.059
14.206 -69.143
20.056 -68.815
13.527 -68.697
12.132 -68.576
12.113 -68.289
12.169 -68.305
12.167 -68.302
12.159 -68.296
13.857 -67.049
18.302 -64.575
12.277 -68.123
15.473 -81.014
17.738 -75.655
17.709 -75.578
17.715 -75.557
13.448 -71.355
11.078 -74.461
11.062 -74.444
11.127 -74.418
12.84 -69.084
